sample_names	Lane	Days	Hormones	Inhibitor	IsClonal
organoids7090723	1	0	Ctrl	Ctrl	True
organoids7090724	2	0	Ctrl	Ctrl	True
organoids7090725	3	2	Ctrl	Ctrl	True
organoids7090726	4	2	E	Ctrl	True
organoids7090727	5	2	Ctrl	Ctrl	True
organoids7090728	6	2	E	Ctrl	True
organoids7090729	7	6	Ctrl	Ctrl	True
organoids7090730	8	6	E+P	Ctrl	True
organoids7090731	9	6	Ctrl	Ctrl	True
organoids7090732	10	6	E+P	Ctrl	True
WSSS_END8729879	11	0	Ctrl	Ctrl	True
WSSS_END8729880	11	0.125	E	Ctrl	True
WSSS_END8729881	11	0	Ctrl	Ctrl	True
WSSS_END8729882	11	1	E	Ctrl	True
WSSS_END8729975	11	2	E	Ctrl	True
WSSS_END8729976	11	2.125	E+P	Ctrl	True
WSSS_END8729977	11	2	E	NOTCHi-DBZ	True
WSSS_END8729978	11	2	Ctrl	NOTCHi-DBZ	True
WSSS_END8729979	11	2	E	NOTCHi-DADT	True
WSSS_END8729980	11	2	Ctrl	NOTCHi-DADT	True
WSSS_END8729981	11	2	E	WNTi-IWP	True
WSSS_END8729982	11	2	Ctrl	WNTi-IWP	True
WSSS_END8729983	11	2	E	WNTi-XAV	True
WSSS_END8729984	11	2	Ctrl	WNTi-XAV	True
WSSS_END8729985	11	2	Ctrl	Ctrl	True
WSSS_END8730071	11	3	E+P	Ctrl	True
WSSS_END8730167	11	4	E+P	Ctrl	True
WSSS_END8730168	11	4	E+P	NOTCHi-DBZ	True
WSSS_END8730169	11	4	Ctrl	NOTCHi-DBZ	True
WSSS_END8730170	11	4	E+P	NOTCHi-DADT	True
WSSS_END8730171	11	4	Ctrl	NOTCHi-DADT	True
WSSS_END8730172	11	4	E+P	WNTi-IWP	True
WSSS_END8730173	11	4	Ctrl	WNTi-IWP	True
WSSS_END8730174	11	4	E+P	WNTi-XAV	True
WSSS_END8730263	11	4	Ctrl	WNTi-XAV	True
WSSS_END8730264	11	4	Ctrl	Ctrl	True
WSSS_END8730359	11	5	E+P	Ctrl	True
WSSS_END8730455	11	6	E+P	Ctrl	True
WSSS_END8730456	11	6	E+P	NOTCHi-DBZ	True
WSSS_END8730457	11	6	Ctrl	NOTCHi-DBZ	True
WSSS_END8730458	11	6	E+P	NOTCHi-DADT	True
WSSS_END8730459	11	6	Ctrl	NOTCHi-DADT	True
WSSS_END8730460	11	6	E+P	WNTi-IWP	True
WSSS_END8730461	11	6	Ctrl	WNTi-IWP	True
WSSS_END8730462	11	6	E+P	WNTi-XAV	True
WSSS_END8730551	11	6	Ctrl	WNTi-XAV	True
WSSS_END8730552	11	6	Ctrl	Ctrl	True
WSSS_END9263313	12	0	Ctrl	Ctrl	False
WSSS_END9263314	12	2	Ctrl	Ctrl	False
WSSS_END9263315	12	2	E	Ctrl	False
WSSS_END9263316	12	6	Ctrl	Ctrl	False
WSSS_END9263317	12	6	E+P	Ctrl	False
